!File Type,Version Number Major,Version Number Minor,Version Number Build,
~Stock Code File,1,5,1,
!Last Updated,20040313,,,
!Code,Desc, Hire , Sale ,Kg
147003,CHAIN WIRE MESH (ROLL), $-   ,$78.23,62.1
147004,TOBY BAR NUTS, $-   ,$5.92,
147005,TOBY BAR 1.2M, $-   ,$11.86,
147006,COACH BOLTS, $-   ,$1.08,
147007,M12 BOLTS/NUTS, $-   ,$0.23,
147008,DYNA BOLTS, $-   ,$5.64,
147009,GAL SP WASHERS, $-   ,$0.13,
147010,ROLL TIE WIRE, $-   ,$7.90,
147011,THREADED ROD 1M LGTH, $-   ,$5.08,
147012,SOLEBOARDS, $-   ,$3.39,
147013,(102113) BOX SPANNER, $-   ,$28.14,0.7
147014,(102114) SCAFFOLD HAMMER, $-   ,$23.70,
147015,SCAFFOLD BELT COMPLETE, $-   ,$90.30,
147016,LASHING WIRE, $-   ,$0.85,
147017,(102115) BOX SPANNER (BB), $-   ,$28.22,
147018,TIE WIRE 1.57 X 1KG (BLK), $-   ,$5.02,
147019,TIE WIRE 1.57 X 3KG (GAL.), $-   ,$16.97,
147020,SOLEBOARD 225 X 32 X 1.5M, $-   ,$4.84,
147021,SOLEBOARD 225 X 32 X 0.5M, $-   ,$1.61,
147030,VISQUEEN (CLEAR) 1.8M X 50M, $-   ,$94.06,
147032,VISQUEEN (ORANGE) 1.8M X 50M, $-   ,$87.34,
147033,BLACK PLASTIC, $-   ,$59.13,
147040,PLYWOOD (STRUC) 1.2X2.4X19MM, $-   ,$53.59,32
147041,PLYWOOD (STRUC) 1.2X2.4X17MM, $-   ,$47.41,25.3
147042,PLYWOOD (STRUC) 1.2X2.4X12MM, $-   ,$33.09,19
147050,FORMPLY(F14MIN)1.2X2.4X17MM, $-   ,$77.01,
147051,FORMPLY(F14MIN)1.2X1.8X17MM, $-   ,$59.50,
147060,BUFFER RAIL (OREGON) X L/MTR, $-   ,$32.25,
147070,UNIT BEAM (B/N/W) - PLATE, $-   ,$1.66,
147071,UNIT BEAM (B/N/W) - TUBE, $-   ,$2.31,
147075,ALUM STAIR H/RAIL (B/N/W), $-   ,$0.43,
147077,STAIR STRINGER (B/N/W), $-   ,$0.59,
147078,HOARD.C/WEIGHT BRKT (B/N/W), $-   ,$1.67,
147080,THREADED ROD M10 X 1.0M, $-   ,$2.69,
147081,THREADED ROD M16 X 1.0M, $-   ,$7.07,
147083,THREADED ROD M20 X 1.0M, $-   ,$7.74,
147085,HEX. NUT M10, $-   ,$0.22,
147086,HEX. NUT M16, $-   ,$0.20,
147087,HEX. NUT M20, $-   ,$0.48,
147090,ROUND WASHER M10, $-   ,$0.05,
147091,ROUND WASHER M16, $-   ,$0.14,
147092,ROUND WASHER M20, $-   ,$0.22,
147095,SQUARE WASHER M10, $-   ,$0.48,
147096,SQUARE WASHER M16, $-   ,$0.82,
147097,SQUARE WASHER M20, $-   ,$0.98,
147100,CHEM.ANCHOR STUD/CAPS.M16, $-   ,$8.17,
147101,CHEM.ANCHOR STUD/CAPS.M20, $-   ,$14.82,
147105,MECH.ANCHOR (DYNABOLT) M16, $-   ,$1.60,
147106,MECH.ANCHOR (DYNABOLT) M20, $-   ,$3.02,
147107,MECH.ANCHOR (DYNASET) M16, $-   ,$1.80,
147108,MECH.ANCHOR (DYNASET) M20, $-   ,$2.90,
147110,CONC.INSERT M16, $-   ,$2.92,
147111,CONC.INSERT M20, $-   ,$3.90,
147115,CABLE TIES - PKT 100, $-   ,$32.25,
147120,(102116) MAGNETIC LEVEL, $-   ,$22.58,
147125,TAPE MEASURE 8M, $-   ,$24.73,
147130,(102117)SCAFF TAGE KIT COMP, $-   ,$100.00,
147131,(102118) SCAFF TAG PENS, $-   ,$4.50,
155001,"T.HD BOLT 9/16X4.7/16""-2""""", $-   ,$4.67,
155002,"T.HD BOLT 9/16X4.13/16""-2.3/8""", $-   ,$5.83,
155003,"SCAFF NUT TAPPED 9/16""", $-   ,$0.63,
155004,SCAFF RECT.LOCK WAS 9/16, $-   ,$0.51,
155005,BOLT BSW FOR R/ANGLE COUPL, $-   ,$2.24,
155006,"BENT BOLT 1/2 UK90""", $-   ,$3.99,
155007,"SCAFF NUT TAPPED 1/2""", $-   ,0.67,
155008,ROUND WASHER 1/2 BSW EZP, $-   ,$0.31,
155009,"T.HD BOLT 3/8 X 3"" E/E""", $-   ,$1.27,
155010,"3/8 NUT FOR END TO END""", $-   ,$1.49,
155011,END-END COUPLER PARTITION, $-   ,$0.73,
155012,HOOK BOLT 12MM LONG TYPE, $-   ,$4.44,
155013,M12 NUT FOR HOOK BOLT, $-   ,$0.67,
155014,PUTLOG CLIP BODY ONLY, $-   , $-   ,
155015,GIRDER COUPLER SET SCREW, $-   ,$5.00,
155016,1/2 COUPLER-CNR FILLER, $-   , $-   ,
155017,K/SNAP ALUM.TUBE 48.4 X 2.64, $-   , $-   ,
155018,K/SNAP PLY DECK SUP 25X25X2MM, $-   , $-   ,
155019,K/SNAP DECK SIDE RAIL 6M, $-   , $-   ,
155020,MET P NYL NUT M10, $-   , $-   ,
155021,BOLT ZINC 8.8 H/T M10 X 60MM, $-   , $-   ,
155022,BOLT FOR IMP.90 DEG./SWIVEL, $-   ,$0.52,
155023,NUT FOR IMP.90 DEG./SWIVEL, $-   ,$0.52,
155060,U CLAMP M16-GIRDER COUPLER, $-   ,$11.10,
155100,STAIRWAY PINLOCK STUD STD, $-   ,$8.25,
155101,STAIRWAY PINLOCK STUD -VIC, $-   , $-   ,
155102,STAIRWAY PINLOCK FLIPPER&PIN, $-   , $-   ,
155200,SCAFF BOARD BRANDING IRON, $-   , $-   ,
155201,OREG.K/BOARD BANDING STRP 64MM, $-   ,$1.68,
155202,SCAFF.PLANK BANDING STRIP 38MM, $-   ,$1.68,
155203,MILPLANK END CHANNEL 16G, $-   ,$3.79,
155204,KWIKBOARD END CHANNEL, $-   ,$4.45,
155300,MILFRAME SPIGOT-LONG, $-   ,$3.42,
155301,MILFRAME PINLOCK, $-   ,$1.87,
155302,PINLOCK FLIPPER, $-   , $-   ,
15540004,TIE BAR PIN, $-   , $-   ,
155605,6X6 BASE PLATE PUNCHED, $-   , $-   ,
155606,"L.T. U"" BRACKET""", $-   , $-   ,
155607,L.T. J END, $-   , $-   ,
155608,PALLET LEG, $-   , $-   ,
155700,M/S CONN. WEDGE 1603KI, $-   , $-   ,
155701,M/S SPRING WEDGE , $-   , $-   ,
155702,28MM M/S SPR. WEDGE GAL, $-   , $-   ,
155703,28MM M/S SPR. WEDGE RAW, $-   ,$2.38,
155704,SPRING WEDGE RETAINING PIN, $-   , $-   ,
155705,BRICKGUARD MESH K/S 2.4M, $-   , $-   ,
155706,BRICKGUARD MESH K/S 1.8M, $-   , $-   ,
155707,BRICKGUARD MESH K/S 1.2M, $-   , $-   ,
155708,K/S B/GUARD 310MM K/BOARDS, $-   , $-   ,
155709,K/S B/GUARDS TOP H/RAILS, $-   , $-   ,
155710,K/S B/GUARDS END PLATE, $-   , $-   ,
155711,BRICKGUARD MESH M/S 2.4M, $-   , $-   ,
155712,BRICKGUARD MESH M/S 1.8M, $-   , $-   ,
155713,M/S SINGLER QUAD CLUSTER, $-   , $-   ,
155714,M/S 4 QUAD CLUSTER PIECE, $-   , $-   ,
155715,M/S REPLACEMENT LUG, $-   , $-   ,
155716,TOP HAT SECTION 1.2M, $-   , $-   ,
155717,"M/S BRACE END C"" FITTING""", $-   , $-   ,
155718,M/S CONN MALE HALF COMPL, $-   , $-   ,
155719,M/S CONN FEMALE HALF COMPL, $-   , $-   ,
155720,M/S CONNECTOR GUSSETS, $-   , $-   ,
155721,M/S CONNECTOR CRESCENTS, $-   , $-   ,
155722,"C"" FITTINGS NO WEDGE/PIN""", $-   , $-   ,
